,Date,pulls_count, issue_comment_count, issues_count, review_comments_count, comments_count, commits_count,events_count, issue_events_count, releases_count, tags_count,contributors_count,future_time_slice_contributors_count_actual,future_time_slice_contributors_count_predicted,
Data for presentation2:,06/01/10 12:00 AM,0,0,0,0,128,0,0,0,0,0,11,11,,
Data for presentation2:,07/01/10 12:00 AM,0,0,0,0,80,0,0,0,0,0,11,12,,
Data for presentation2:,07/31/10 12:00 AM,0,0,0,0,174,0,0,0,0,0,15,14,,
Data for presentation2:,08/30/10 12:00 AM,0,9,0,0,79,0,0,0,0,0,14,15,,
Data for presentation2:,09/29/10 12:00 AM,0,68,3,0,171,0,0,0,0,0,27,31,,
Data for presentation2:,10/29/10 12:00 AM,0,148,9,0,299,0,0,0,0,0,34,34,,
Data for presentation2:,11/28/10 12:00 AM,0,99,2,0,220,0,0,0,0,0,39,37,,
Data for presentation2:,12/28/10 12:00 AM,0,131,15,0,153,0,0,0,0,0,49,83,,
Data for presentation2:,01/27/11 12:00 AM,0,318,30,0,279,0,0,0,0,0,95,74,,
Data for presentation2:,02/26/11 12:00 AM,1,224,16,0,241,0,0,0,0,0,70,59,,
Data for presentation2:,03/28/11 12:00 AM,0,151,5,0,84,0,0,0,0,0,61,156,,
Data for presentation2:,04/27/11 12:00 AM,1,529,54,0,186,0,0,0,0,0,154,124,,
Data for presentation2:,05/27/11 12:00 AM,4,790,57,0,92,0,0,0,0,0,153,153,,
Data for presentation2:,06/26/11 12:00 AM,4,902,26,0,216,0,0,0,0,0,170,198,,
Data for presentation2:,07/26/11 12:00 AM,3,862,40,0,305,0,0,0,0,0,203,187,,
Data for presentation2:,08/25/11 12:00 AM,0,1125,29,0,194,0,0,0,0,0,208,252,,
Data for presentation2:,09/24/11 12:00 AM,1,1942,21,0,269,0,0,0,0,0,245,224,,
Data for presentation2:,10/24/11 12:00 AM,1,1892,20,0,225,0,0,0,1,0,242,241,,
Data for presentation2:,11/23/11 12:00 AM,2,2114,19,0,234,0,0,0,3,0,217,237,,
Data for presentation2:,12/23/11 12:00 AM,1,1851,13,0,158,0,0,0,3,0,245,277,,
Data for presentation2:,01/22/12 12:00 AM,0,2498,15,0,315,0,0,0,2,0,319,327,,
Data for presentation2:,02/21/12 12:00 AM,3,2458,38,0,357,0,0,0,7,0,345,376,,
Data for presentation2:,03/22/12 12:00 AM,2,2948,43,0,257,0,0,0,5,0,421,401,,
Data for presentation2:,04/21/12 12:00 AM,1,2823,54,0,267,0,0,0,3,0,419,446,,
