,Date,repo,pulls_count, issue_comment_count, issues_count, review_comments_count, comments_count, commits_count,events_count, issue_events_count, releases_count, tags_count,contributors_count,,,,,
Data for presentation:,06/01/10 12:00 AM,kitsune,0,0,0,0,100,0,0,0,0,0,6,,,,,
Data for presentation:,06/01/10 12:00 AM,zamboni,0,0,0,0,28,0,0,0,0,0,5,,,,,
Data for presentation:,07/01/10 12:00 AM,kitsune,0,0,0,0,36,0,0,0,0,0,5,,,,,
Data for presentation:,07/01/10 12:00 AM,zamboni,0,0,0,0,44,0,0,0,0,0,6,,,,,
Data for presentation:,07/31/10 12:00 AM,zamboni,0,0,0,0,113,0,0,0,0,0,7,,,,,
Data for presentation:,07/31/10 12:00 AM,kitsune,0,0,0,0,47,0,0,0,0,0,5,,,,,
Data for presentation:,07/31/10 12:00 AM,secret-squirrel,0,0,0,0,14,0,0,0,0,0,3,,,,,
Data for presentation:,08/30/10 12:00 AM,jschannel,0,4,0,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,08/30/10 12:00 AM,django-product-details,0,1,0,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,08/30/10 12:00 AM,zamboni,0,2,0,0,48,0,0,0,0,0,7,,,,,
Data for presentation:,08/30/10 12:00 AM,kitsune,0,2,0,0,31,0,0,0,0,0,5,,,,,
Data for presentation:,09/29/10 12:00 AM,openwebapps,0,1,0,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,09/29/10 12:00 AM,django-product-details,0,1,0,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,09/29/10 12:00 AM,zamboni,0,1,0,0,82,0,0,0,0,0,8,,,,,
Data for presentation:,09/29/10 12:00 AM,kitsune,0,0,0,0,88,0,0,0,0,0,5,,,,,
Data for presentation:,09/29/10 12:00 AM,narcissus,0,1,0,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,09/29/10 12:00 AM,mozmill-dashboard,0,1,0,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,09/29/10 12:00 AM,chromeless,0,13,2,0,0,0,0,0,0,0,4,,,,,
Data for presentation:,09/29/10 12:00 AM,addon-sdk,0,15,0,0,0,0,0,0,0,0,4,,,,,
Data for presentation:,09/29/10 12:00 AM,prospector,0,35,1,0,1,0,0,0,0,0,2,,,,,
Data for presentation:,10/29/10 12:00 AM,rainbow,0,3,0,0,0,0,0,0,0,0,2,,,,,
Data for presentation:,10/29/10 12:00 AM,f1,0,18,0,0,2,0,0,0,0,0,5,,,,,
